Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
42,GTD,Don Yount,10,01:50.4,18:54.7,Green,Track,26.213,50.979,33.196
64,GTD,Ted Giovanis,10,01:54.2,19:31.2,Green,Track,27.906,52.498,33.761
59,GTD,Jon Miller,11,01:47.7,19:57.1,Green,Track,26.088,49.929,31.683
70,GTD,Frederik Schandorff,11,01:46.6,19:59.8,Green,Track,25.464,49.849,31.311
57,GTD,Russell Ward,11,01:47.9,20:02.2,Green,Track,25.515,49.823,32.534
28,GTD,Daniel Morad,11,01:47.7,20:02.5,Green,Track,25.337,49.939,32.381
12,GTD,Frankie Montecalvo,11,01:47.7,20:02.8,Green,Track,25.74,49.81,32.136
98,GTD,David Pittard,11,01:47.5,20:07.7,Green,Track,25.722,49.863,31.878
32,GTD,Mike Skeen,11,01:47.2,20:08.3,Green,Track,25.49,49.862,31.867
47,GTD,Giorgio Sernagiotto,11,01:46.9,20:09.0,Green,Track,25.347,49.755,31.776
39,GTD,Corey Lewis,11,01:47.6,20:10.8,Green,Track,25.632,49.902,32.083
75,GTD,Kenny Habul,11,01:48.1,20:11.5,Green,Track,26.177,50.046,31.918
44,GTD,John Potter,11,01:49.1,20:15.9,Green,Track,26.145,50.728,32.231
71,GTD,Misha Goikhberg,11,01:47.8,20:19.6,Green,Track,25.583,49.852,32.322
16,GTD,Ryan Hardwick,11,01:50.3,20:25.4,Green,Track,26.462,51.171,32.662
19,GTD,Bill Sweedler,11,01:50.4,20:26.3,Green,Track,26.63,51.064,32.755
34,GTD,James Sofronas,11,01:49.6,20:26.4,Green,Track,26.155,50.887,32.596
99,GTD,Nick Boulle,11,01:49.7,20:26.7,Green,Track,26.536,50.63,32.551
96,GTD,Robby Foley,11,01:49.6,20:27.5,Green,Track,26.315,51.053,32.244
27,GTD,Ian James,11,01:50.2,20:27.9,Green,Track,26.428,51.522,32.22
66,GTD,Till Bechtolsheimer,11,01:49.1,20:28.3,Green,Track,25.783,51.029,32.32
21,GTD,Luis Perez Companc,11,01:49.0,20:41.4,Green,Track,26.224,50.568,32.166
42,GTD,Don Yount,11,01:49.9,20:44.6,Green,Track,25.856,50.784,33.22
64,GTD,Ted Giovanis,11,01:55.3,21:26.5,Green,Track,27.183,53.445,34.691
59,GTD,Jon Miller,12,01:47.3,21:44.4,Green,Track,25.7,49.867,31.716
70,GTD,Frederik Schandorff,12,01:47.9,21:47.8,Green,Track,26.196,50.233,31.518
57,GTD,Russell Ward,12,01:47.2,21:49.4,Green,Track,25.436,49.858,31.903
28,GTD,Daniel Morad,12,01:47.1,21:49.6,Green,Track,25.603,49.921,31.574
